Time      |Conveyor Belt       |KUKA Robot          |CNC Lathe           |Workpiece ID        |KUKA Operation      |CNC Lathe Operation 
          |Status    |R_Time   |Status    |R_Time   |Status    |R_Time   
13:41:11  |Occupied  |1s       |Idle      |-s       |Idle      |-s       |WID_TRD272          |null                |null                
13:41:12  |Occupied  |0s       |Idle      |-s       |Idle      |-s       |WID_TRD272          |null                |null                
13:41:13  |Idle      |-s       |Occupied  |5s       |Idle      |-s       |WID_TRD272          |Pickup              |null                
13:41:14  |Idle      |-s       |Occupied  |4s       |Idle      |-s       |WID_TRD272          |Pickup              |null                
13:41:15  |Idle      |-s       |Occupied  |3s       |Idle      |-s       |WID_TRD272          |Pickup              |null                
13:41:16  |Idle      |-s       |Occupied  |2s       |Idle      |-s       |WID_TRD272          |Pickup              |null                
13:41:17  |Idle      |-s       |Occupied  |1s       |Idle      |-s       |WID_TRD272          |Pickup              |null                
13:41:18  |Idle      |-s       |Occupied  |0s       |Idle      |-s       |WID_TRD272          |Pickup              |null                
13:41:20  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD272          |null                |null                
13:41:21  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD272          |null                |null                
13:41:22  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD272          |null                |null                
13:41:23  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD272          |null                |null                
13:41:24  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD272          |null                |null                
13:41:25  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_TRD272          |null                |Turning             
13:41:26  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_TRD272          |null                |Turning             
13:41:27  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_TRD272          |null                |Turning             
13:41:28  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_TRD272          |null                |Turning             
13:41:29  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_TRD272          |null                |Turning             
13:41:30  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_TRD272          |null                |Turning             
13:41:31  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_TRD272          |null                |Turning             
13:41:32  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_TRD272          |null                |Turning             
13:41:33  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_TRD272          |null                |Threading           
13:41:35  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_TRD272          |null                |Threading           
13:41:36  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_TRD272          |null                |Threading           
13:41:37  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_TRD272          |null                |Threading           
13:41:38  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_TRD272          |null                |Threading           
13:41:39  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD272          |null                |null                
Operation B Completed!
----------------------------------------------------------------------------------------------------------------------------------
13:41:40  |Occupied  |4s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
13:41:41  |Occupied  |3s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
13:41:42  |Occupied  |2s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
13:41:43  |Occupied  |1s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
13:41:44  |Occupied  |0s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
13:41:45  |Idle      |-s       |Occupied  |5s       |Idle      |-s       |WID_TRD169          |Pickup              |null                
13:41:47  |Idle      |-s       |Occupied  |4s       |Idle      |-s       |WID_TRD169          |Pickup              |null                
13:41:48  |Idle      |-s       |Occupied  |3s       |Idle      |-s       |WID_TRD169          |Pickup              |null                
13:41:49  |Idle      |-s       |Occupied  |2s       |Idle      |-s       |WID_TRD169          |Pickup              |null                
13:41:50  |Idle      |-s       |Occupied  |0s       |Idle      |-s       |WID_TRD169          |Pickup              |null                
13:41:51  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
13:41:52  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
13:41:53  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
13:41:54  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
13:41:55  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
